family_letter,family_code,family_label,family_production_enabled,observation_raw_key,observation_label,observation_short_label,disposition,source,definition,boolean_question,yes_meaning,yes_label,yes_message,no_meaning,no_message,plain_language_copy,mapped_messages,notes
A,parent_relation,How it relates to the parent,true,has_rebuttal,Challenged,Challenged,rendered_now,auto_metadata,This move has a challenge.,Does this move have at least one child that is structurally a challenge / rebuttal?,An auto-metadata fact derived from the argument tree: at least one of the move's children is typed as a challenge. Deterministic from the tree.,Challenged,Has a challenge,"The move has no children typed as challenges (it may have other children like clarifications, supports, or branches).",not observed / did not fire,Has a challenge,Challenged; Has a challenge; This move has a challenge.,
A,parent_relation,How it relates to the parent,true,has_counter_rebuttal,Counter,Counter,rendered_now,auto_metadata,This move has a counter-challenge.,Does this move have at least one grandchild that is structurally a counter-rebuttal (challenge to its child challenge)?,An auto-metadata fact derived from the argument tree: the move has a child challenge that itself has a challenge child. Deterministic.,Counter,Has a counter-challenge,No counter-rebuttal descends from this move (the challenge has no counter-challenge child).,not observed / did not fire,Has a counter-challenge,Counter; Has a counter-challenge; This move has a counter-challenge.,
A,parent_relation,How it relates to the parent,true,rebutted,Pressured,Pressured,rendered_now,lifecycle,This cluster is under pressure from a challenge.,"Is this cluster in the ""rebutted"" lifecycle state — an open challenge has been posted and not yet answered?",A lifecycle state derived from the cluster's response pattern: at least one challenge to the cluster's main claim is open (not closed by a clarification / sourcing / concession / synthesis).,Pressured,Under pressure,"The cluster has no open challenge, or every challenge has been answered. The cluster moved to a different lifecycle state.",not observed / did not fire,Under pressure,Pressured; Under pressure; This cluster is under pressure from a challenge.,
A,parent_relation,How it relates to the parent,true,quote_anchors_parent,Anchored reply,Anchored,future_source,ai_classifier,This reply is anchored to the parent by a quote.,Does this move quote specific text from its parent and use that quote as the anchor for its response?,The move contains a direct quotation of a portion of the parent's text and structures its response around that quote — addressing the quoted portion specifically rather than the parent's general thrust.,Anchored reply,(none),"The move paraphrases the parent without quoting, or references the parent without a quote, or quotes something that is not the parent (an external source). A passing quote without anchoring (the move's substantive response is elsewhere) is NOT this rawKey.",not observed / did not fire,(none),Anchored reply; Anchored; This reply is anchored to the parent by a quote.,future-source (not rendered in v1)
A,parent_relation,How it relates to the parent,true,supports_parent,Supports parent,Supports,future_source,ai_classifier,This move provides support for its parent argument.,"Does this move's substantive content support (rather than challenge, refine, or be neutral about) its parent's position?","The move advances reasons, evidence, or examples that strengthen the parent's claim or position. The move may add new support, restate the parent's claim from a different angle, or provide a confirming example.",Supports parent,(none),"The move challenges, qualifies, redirects, or is independent of the parent's position. A move that says 'yes, and ALSO...' for a DIFFERENT axis is NOT support — that is extends_parent.",not observed / did not fire,(none),Supports parent; Supports; This move provides support for its parent argument.,future-source (not rendered in v1)
A,parent_relation,How it relates to the parent,true,challenges_parent,Challenges parent,Challenges,future_source,ai_classifier,This move challenges its parent argument.,"Does this move's substantive content challenge (dispute, push back on, raise problems with) its parent's claim, scope, evidence, or reasoning?","The move's substantive content pushes back on the parent in at least one of: factual challenge, scope challenge, evidence-applicability challenge, definition dispute, causal disagreement, value disagreement.",Challenges parent,(none),"The move agrees, refines on the same side, questions for clarification, summarizes, or acknowledges. Pure questions and pure paraphrases are NOT challenges.",not observed / did not fire,(none),Challenges parent; Challenges; This move challenges its parent argument.,future-source (not rendered in v1)
A,parent_relation,How it relates to the parent,true,refines_parent,Refines parent,Refines,future_source,ai_classifier,This move refines or narrows the parent's claim.,"Does this move take the parent's claim and offer a refinement that narrows or sharpens it (same side, more precise)?",The move accepts the parent's broad direction and proposes a more precise / narrower / better-scoped version. Move-intrinsic; distinct from lifecycle 'narrowed' (which is cluster-state after acceptance).,Refines parent,(none),"The move challenges or disputes, extends to a different axis, or merely acknowledges. A refinement is supportive narrowing.",not observed / did not fire,(none),Refines parent; Refines; This move refines or narrows the parent's claim.,future-source (not rendered in v1)
A,parent_relation,How it relates to the parent,true,extends_parent,Extends parent,Extends,future_source,ai_classifier,This move extends the parent to a related but distinct point.,Does this move accept the parent's point and extend it to a related but distinct point on the same side?,"The move signals 'yes, AND also...' — accepting the parent and adding a related but distinct same-side point. The extension is not the same claim restated; it is an additional claim coalition-building with the parent.",Extends parent,(none),"The move challenges, refines (narrows the same claim), or extends to a DIFFERENT axis. Pure agreement without extension is acknowledges_parent.",not observed / did not fire,(none),Extends parent; Extends; This move extends the parent to a related but distinct point.,future-source (not rendered in v1)
A,parent_relation,How it relates to the parent,true,distinguishes_parent,Distinguishes from parent,Distinguishes,future_source,ai_classifier,This move draws a sub-distinction the parent did not.,Does this move draw a sub-distinction within the parent's scope that the parent treated as unified?,The move splits a category the parent treated as one ('libraries' → 'urban libraries vs rural libraries'; 'EVs' → 'passenger EVs vs commercial EVs'). The distinction matters for the parent's claim.,Distinguishes from parent,(none),"The move accepts the parent's scope without subdividing, or proposes an entirely new axis (introduces_new_issue), or challenges the whole claim.",not observed / did not fire,(none),Distinguishes from parent; Distinguishes; This move draws a sub-distinction the parent did not.,future-source (not rendered in v1)
A,parent_relation,How it relates to the parent,true,reframes_parent,Reframes parent,Reframes,future_source,ai_classifier,This move offers a different frame for the parent's topic.,"Does this move re-frame the topic, shifting the lens or the decision criterion the parent assumed?","The move accepts the topic but proposes a different frame: 'this is really a question of fairness, not efficiency'; 'the right unit is per-resident, not per-county'; 'we should be asking who pays, not whether to pay'. Reframing changes the criterion.",Reframes parent,(none),"The move accepts the frame and challenges the claim within it, or extends, or refines, or introduces a new issue without reframing.",not observed / did not fire,(none),Reframes parent; Reframes; This move offers a different frame for the parent's topic.,future-source (not rendered in v1)
