mapping_id,generated_at,family_key,family_label,family_status,rule_kind,aggregation_family,cross_family_context,required_true_flags,required_false_flags,logic_expression,schema_action,observation_code,label_short,label_neutral,label_supportive,label_technical,diagnostic_sentence,graham_dh_level,graham_dh_label,hitods_alignment,cognitive_epistemic_score_estimate,social_emotional_threat_score_estimate,expert_disagreement_dimension,expert_disagreement_type,walton_scheme_alignment,learning_signal,card_surface_visibility,timeline_surface_visibility,display_priority,confidence_weight,rationale,critical_question_prompt,safety_note,test_suggestion,implementation_notes
MBOM-00001,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_true,within_family,,references_parent_claim,,references_parent_claim=yes,fits_existing_or_planned_boolean_answers,parent_relation.single_true.0001,References the parent claim observed,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0001,"When references_parent_claim=yes, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,definition or scope mismatch,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate contradiction or weak denial under Parent Relation because references_parent_claim=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_true.0001 fires only for references_parent_claim=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00002,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_false,within_family,,,references_parent_claim,references_parent_claim=no,fits_existing_or_planned_boolean_answers,parent_relation.single_false.0002,References the parent claim absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0002,"When references_parent_claim=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,method or measurement difference,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Parent Relation because references_parent_claim=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_false.0002 fires only for references_parent_claim=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00003,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_true,within_family,,quotes_parent_text,,quotes_parent_text=yes,fits_existing_or_planned_boolean_answers,parent_relation.single_true.0003,Quotes or close-paraphrases parent text observed,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0003,"When quotes_parent_text=yes, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,claim-evidence fit,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate contradiction or weak denial under Parent Relation because quotes_parent_text=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_true.0003 fires only for quotes_parent_text=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00004,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_false,within_family,,,quotes_parent_text,quotes_parent_text=no,fits_existing_or_planned_boolean_answers,parent_relation.single_false.0004,Quotes or close-paraphrases parent text absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0004,"When quotes_parent_text=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,evidence quality issue,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Parent Relation because quotes_parent_text=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_false.0004 fires only for quotes_parent_text=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00005,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_true,within_family,,addresses_parent_reasoning,,addresses_parent_reasoning=yes,fits_existing_or_planned_boolean_answers,parent_relation.single_true.0005,Addresses parent reasoning observed,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0005,"When addresses_parent_reasoning=yes, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,definition or scope mismatch,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate contradiction or weak denial under Parent Relation because addresses_parent_reasoning=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_true.0005 fires only for addresses_parent_reasoning=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00006,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_false,within_family,,,addresses_parent_reasoning,addresses_parent_reasoning=no,fits_existing_or_planned_boolean_answers,parent_relation.single_false.0006,Addresses parent reasoning absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0006,"When addresses_parent_reasoning=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,method or measurement difference,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Parent Relation because addresses_parent_reasoning=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_false.0006 fires only for addresses_parent_reasoning=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00007,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_true,within_family,,targets_central_parent_point,,targets_central_parent_point=yes,fits_existing_or_planned_boolean_answers,parent_relation.single_true.0007,Targets central parent point observed,Grounded refutation,This reply engages a specific claim or support and can deepen the exchange.,parent_relation::dh5::0007,"When targets_central_parent_point=yes, show: This reply engages a specific claim or support and can deepen the exchange.",DH5,Refutation,HiTODS green / grounded transactive disagreement,4,2,information_related,claim-evidence fit,argument_quality_or_refutation_form,high_responsiveness,card_default_visible,timeline_tap_to_reveal,74,0.78,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate refutation under Parent Relation because targets_central_parent_point=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_true.0007 fires only for targets_central_parent_point=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00008,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_false,within_family,,,targets_central_parent_point,targets_central_parent_point=no,fits_existing_or_planned_boolean_answers,parent_relation.single_false.0008,Targets central parent point absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0008,"When targets_central_parent_point=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,evidence quality issue,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Parent Relation because targets_central_parent_point=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_false.0008 fires only for targets_central_parent_point=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00009,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_true,within_family,,changes_topic,,changes_topic=yes,fits_existing_or_planned_boolean_answers,parent_relation.single_true.0009,Changes topic or branch focus observed,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0009,"When changes_topic=yes, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,definition or scope mismatch,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate contradiction or weak denial under Parent Relation because changes_topic=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_true.0009 fires only for changes_topic=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00010,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_false,within_family,,,changes_topic,changes_topic=no,fits_existing_or_planned_boolean_answers,parent_relation.single_false.0010,Changes topic or branch focus absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0010,"When changes_topic=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,method or measurement difference,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Parent Relation because changes_topic=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_false.0010 fires only for changes_topic=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00011,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_true,within_family,,misstates_parent_claim,,misstates_parent_claim=yes,fits_existing_or_planned_boolean_answers,parent_relation.single_true.0011,Misstates the parent claim observed,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0011,"When misstates_parent_claim=yes, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,claim-evidence fit,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate contradiction or weak denial under Parent Relation because misstates_parent_claim=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_true.0011 fires only for misstates_parent_claim=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00012,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_false,within_family,,,misstates_parent_claim,misstates_parent_claim=no,fits_existing_or_planned_boolean_answers,parent_relation.single_false.0012,Misstates the parent claim absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0012,"When misstates_parent_claim=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,evidence quality issue,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Parent Relation because misstates_parent_claim=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_false.0012 fires only for misstates_parent_claim=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
