family_key,family_status,boolean_flag,plain_language,flag_category,schema_status,primary_dimension,default_dh_hint,migration_recommendation,why_it_may_improve_engagement
parent_relation,production_enabled_existing_family,references_parent_claim,References the parent claim,relation,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
parent_relation,production_enabled_existing_family,quotes_parent_text,Quotes or close-paraphrases parent text,relation,existing_or_planned_family_boolean,information_related,DH5,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
parent_relation,production_enabled_existing_family,addresses_parent_reasoning,Addresses parent reasoning,transactivity,existing_or_planned_family_boolean,information_related,DH5,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
parent_relation,production_enabled_existing_family,targets_central_parent_point,Targets central parent point,transactivity,existing_or_planned_family_boolean,information_related,DH6,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
parent_relation,production_enabled_existing_family,changes_topic,Changes topic or branch focus,drift,existing_or_planned_family_boolean,information_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
parent_relation,production_enabled_existing_family,misstates_parent_claim,Misstates the parent claim,drift,existing_or_planned_family_boolean,information_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
parent_relation,production_enabled_existing_family,adds_supporting_reason,Adds supporting reason,reasoning,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
parent_relation,production_enabled_existing_family,offers_counter_reason,Offers counter-reason,reasoning,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
parent_relation,production_enabled_existing_family,asks_clarifying_question,Asks clarifying question,repair,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
parent_relation,production_enabled_existing_family,acknowledges_parent_strength,Acknowledges parent strength before disagreeing,mitigation,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
parent_relation,production_enabled_existing_family,compares_parent_to_sibling_branch,Compares parent with sibling branch,topology,proposed_new_boolean,information_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
parent_relation,production_enabled_existing_family,identifies_parent_scope_limit,Identifies scope limit in parent,scope,proposed_new_boolean,uncertainty_related,DH5,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,expresses_disagreement,Expresses disagreement,disagreement,existing_or_planned_family_boolean,information_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,states_opposing_claim,States opposing claim,contradiction,existing_or_planned_family_boolean,information_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,provides_reasoning,Provides reasoning,reasoning,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,provides_evidence,Provides evidence,evidence,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,quotes_claim,Quotes challenged claim,quote,existing_or_planned_family_boolean,information_related,DH5,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,targets_central_point,Targets central point,centrality,existing_or_planned_family_boolean,information_related,DH6,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,criticizes_tone_only,Criticizes tone only,tone,existing_or_planned_family_boolean,informant_related,DH2,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
